用户,用户ID,评论内容,点赞数,评论时间,IP属地
落雪尤记别离人,445798657,也会因为一个人来听万有引力,0,2025-06-08 04:30:20.391,安徽
人的一生123456没有7,8609096233,青春,1,2025-06-08 03:44:30.399,福建
冬涌诗,8055566623,现在还在听的绝对是真爱了吧,0,2025-06-08 02:59:19.599,福建
下弦月_Army,13260743306,那我是这个👍🏻,0,2025-06-08 02:15:55.786,浙江
chaosinme,623644892,港台腔本来就有点伪命题，香港腔跟台湾腔根本就两回事[呆],0,2025-06-07 18:31:59.030,广西
普罗旺_1aoH,12750834124,6,0,2025-06-07 14:13:53.755,江西
普罗旺_1aoH,12750834124,我,0,2025-06-07 14:13:39.417,江西
Dark134,593976697,+1 复习物理的时候突然就哼起来了[大哭],0,2025-06-07 12:41:03.257,福建
神总是忧郁的吧,1460276293,我呀,0,2025-06-07 07:31:59.771,广东
Xuanxuanxuanwen,8860955910,现在还听的是这个👍,2,2025-06-07 03:28:40.170,广东
7777小yue,12220981786,“牛顿发现了万有引力 而我发现了你对我有吸引力”,2,2025-06-07 03:21:43.054,山东
udhdjfhf,3854829758,谁还记得那个手势舞🌚,2,2025-06-07 03:03:41.815,云南
妈咪小郁,8411092441,晚安,0,2025-06-06 16:51:50.304,湖北
小痛季L,12398446718,甜甜的,0,2025-06-06 13:24:52.041,河南
Never驯服的鹿,268544043,好听好听就爱听咋嘟听了就高兴！,1,2025-06-06 03:10:13.657,湖北
阳_6799,8452505565,现在还听的是这个[强],8,2025-06-05 16:34:36.638,上海
小次郎190809,1938088960,初听六年级，现在高考,1,2025-06-05 16:05:45.217,河南
莫顿梵奈,1429525644,好听,1,2025-06-05 15:38:22.599,浙江
破绽小鑫在摸鱼,356372685,一个网红，何秋亊，勇闯内娱韩娱[口罩],1,2025-06-05 07:32:30.239,山西
养只宅猫小欣,9054225114,我是这个👍🏻,2,2025-06-05 05:58:56.136,四川
siufishing,1659343711,看抖音热搜,0,2025-06-04 19:39:50.930,广东
土豆脑袋yhm,1343131216,好听好听超级喜欢,0,2025-06-04 15:24:00.047,辽宁
云海眀,1922646173,11年过去了，还在喜欢嘛,0,2025-06-04 14:04:11.321,黑龙江
AAnZZY,1595018999,包的,0,2025-06-04 13:08:15.299,辽宁
旭岚不难,360247361,哪个啊,0,2025-06-04 09:18:49.196,湖南
小熊记鹭册_,1327440293,喜欢的人，喜欢这首歌。来听，抱着了解他的态度，眼前浮现的是认识他那天起发生的每一个片段。暗恋81天，每天想到他都会笑。哈,0,2025-06-04 02:03:30.955,广东
唐宋TSongS,576649281,好听,0,2025-06-04 00:37:08.151,陕西
憬iy,2123756120,打卡,0,2025-06-03 22:53:18.833,广东
你真是个笨蛋w5-,3228269011,嘻嘻,0,2025-06-03 22:28:26.983,河南
siufishing,1659343711,先别听歌了，某个人的粉丝说要和汪苏泷打PK[开心],4,2025-06-03 17:25:14.889,广东
7emit,1401615137,好听,1,2025-06-03 16:01:38.187,广东
-缘世行-,79726534,"星游记？
",0,2025-06-03 14:11:27.151,广东
愿与秋赴约,7904425052,泷泷永远的神😎我会喜欢你一辈子的,2,2025-06-03 13:33:09.912,江苏
谦谦祈安,8539992315,现在还是好喜欢…,0,2025-06-03 11:34:01.841,内蒙古
谦谦祈安,8539992315,十一年了 幸福了吗,0,2025-06-03 11:33:29.704,内蒙古
及時释怀喔,353000209,慢慢懂,0,2025-06-03 11:08:45.860,安徽
廖苏怡,1884073393,好听,0,2025-06-03 07:28:20.929,江西
桔梗_Liss,8252779303,汪苏泷你就是个天才！,0,2025-06-03 02:43:46.890,广东
李子晶儿,3468892715,👏👏👏👏,0,2025-06-03 02:24:41.153,山西
李子晶儿,3468892715,现在没啥好听的歌,0,2025-06-03 02:23:52.503,山西
R-Duktig,1767597444,2025报道,0,2025-06-02 18:10:07.653,河北
汪汪是小狗zhi,624659226,好甜,0,2025-06-02 16:51:35.959,湖北
橘子海-xx,540268180,喜欢,0,2025-06-02 15:23:34.517,四川
诶曲歪踢,7897824147,那些你逃避的问题，我也不会再问了,2,2025-06-02 15:23:07.591,广东
可可西里细腻酸奶,12497091758,好听,0,2025-06-02 14:14:10.068,安徽
晦涩的青稚,12549407598,我和你的距离就像万能引起 但我从不在意,0,2025-06-02 12:39:37.309,四川
云尊_MnOo,6386451769,想她了[蛋仔大哭],1,2025-06-02 01:58:56.375,江苏
颜_某人丶,423279536,[强][强][强][强],0,2025-06-01 16:34:59.264,湖南
用户8016242492,8016242492,喜欢是不需要表达出来的。不需要让ta知道，也不需要ta也喜欢你，只需要在默默里想着，在心底里喜欢着，就是喜欢,0,2025-06-01 11:58:56.332,山东
Y宇恋冬,1855923376,那我是这个👍🏻👍🏻👍🏻👍🏻,0,2025-06-01 10:06:57.187,江西
用户846578155,329400885,"0
0

0w0c

",0,2025-06-01 09:56:25.730,福建
茠清,12733786086,走遍世界只为证明我喜欢汪苏泷,0,2025-06-01 03:03:00.954,四川
小陈妮子,1342990541,哇哇 呜呜7,1,2025-06-01 01:39:28.972,浙江
耶耶xiaoyuu,1403342221,好想哥哥！,2,2025-05-31 15:22:31.808,重庆
蓝桉_555,8315248524,暗恋一个人，是当做一个目标，让自己又奋斗的动力，变得更好，你那种情情爱爱不算暗恋,1,2025-05-31 14:21:34.235,广东
平行宇宙资深NewBeat,9017938196,太喜欢汪苏泷了，一听到他甜甜的声音真的能自动能带入到谈恋爱幸福的感觉，肾上腺素飙升[吐舌],1,2025-05-31 13:18:09.664,山东
耶耶洋滴Baby,531876654,还是好喜欢万有引力，听不够,0,2025-05-31 08:26:08.958,江苏
aaaa-吖,4951831839,2025年还听这首歌的[强][强][强][强],2,2025-05-31 03:42:39.275,新疆
绗没,12541046896,三叶草是幸福 四叶草是幸运 人们为什么总要抛弃幸福而去寻找幸运呢？,1,2025-05-31 02:46:25.153,广西
绗没,12541046896,有人一点隔阂就离开你 有人经历再多依旧待你如初,0,2025-05-31 02:46:13.403,广西
绗没,12541046896,🍀四叶草的幸运为什么总是下次一定🍀,0,2025-05-31 02:43:38.145,广西
你在我就早睡,9218857624,你居然在线笑死我了，,0,2025-05-31 00:55:08.958,四川
KinoshitaMusashi,9000874717,[大笑],0,2025-05-31 00:54:08.494,四川
你在我就早睡,9218857624,谢了，,0,2025-05-31 00:53:42.584,四川
槐夏梦我,2012483010,"甜甜的嘻嘻嘻嘻
",1,2025-05-30 11:21:06.151,甘肃
------烟火里的尘埃------,1942448234,经典,0,2025-05-30 05:05:42.257,江西
雾崽wu,6271047246,你在说我么[多多笑哭],0,2025-05-29 04:31:35.783,安徽
zwyyyyyyyy,275099962,5years,0,2025-05-28 18:43:36.978,上海
风灵玉秀1026,1401736599,那很棒了哦！哈哈哈！！！,0,2025-05-28 03:48:08.811,浙江
李子晶儿,3468892715,好听就完事,0,2025-05-28 03:43:56.227,山西
